Estacao;Data;Hora;Precipitacao;TempMaxima;TempMinima;Insolacao;Evaporacao Piche;Temp Comp Media;Umidade Relativa Media;Velocidade do Vento Media;
83781;13/06/2010;0000;;18.9;;9.1;2.1;12.8;76;2.566667;
83781;13/06/2010;1200;0;;8.9;;;;;;
83781;14/06/2010;0000;;21.5;;7.3;2.6;15;72.75;2;
83781;14/06/2010;1200;0;;10.5;;;;;;
83781;15/06/2010;0000;;24.4;;8.2;2.2;16.52;63.5;1.3;
83781;15/06/2010;1200;0;;10.1;;;;;;
83781;16/06/2010;0000;;24.9;;8.9;3.7;17.6;53.5;1.233333;
83781;16/06/2010;1200;0;;10.5;;;;;;
83781;17/06/2010;0000;;27.5;;9;6.7;20.14;53.75;1.333333;
83781;17/06/2010;1200;0;;14.5;;;;;;
83781;18/06/2010;0000;;27.5;;8;6.6;19.56;60.25;2.233333;
83781;18/06/2010;1200;0;;14.2;;;;;;
83781;19/06/2010;0000;;27.7;;8.7;4.9;20.96;46.25;3.366667;
83781;19/06/2010;1200;0;;14.2;;;;;;
83781;20/06/2010;0000;;28.3;;8.5;10.8;22.56;43;2.933333;
83781;20/06/2010;1200;0;;16.7;;;;;;
83781;21/06/2010;0000;;23.9;;6.9;8.5;18.42;79.25;2.033333;
83781;21/06/2010;1200;0;;16;;;;;;
83781;22/06/2010;0000;;17.4;;0;2.5;15.52;86.25;2.166667;
83781;22/06/2010;1200;0;;13.9;;;;;;
83781;23/06/2010;0000;;20.3;;3.9;1;15.7;80.75;3.9;
83781;23/06/2010;1200;1.7;;13.4;;;;;;
83781;24/06/2010;0000;;25.6;;6.8;1.5;18.94;75.75;2.4;
83781;24/06/2010;1200;0;;13.4;;;;;;
83781;25/06/2010;0000;;27.7;;7.7;2.2;19.66;66.75;1.566667;
83781;25/06/2010;1200;0;;13.8;;;;;;
83781;26/06/2010;0000;;24.5;;8.9;3.3;17.8;72.75;2.266667;
83781;26/06/2010;1200;0;;14.2;;;;;;
83781;27/06/2010;0000;;24.7;;8.8;3.2;17.6;61;2.466667;
83781;27/06/2010;1200;0;;12.5;;;;;;
83781;28/06/2010;0000;;25.3;;9;3.8;18.06;59;1.133333;
83781;28/06/2010;1200;0;;12.6;;;;;;
83781;29/06/2010;0000;;22.5;;7.8;4.7;17.3;74.5;2.966667;
83781;29/06/2010;1200;0;;14.5;;;;;;
83781;30/06/2010;0000;;25.2;;7;2.9;17.46;67.75;2.4;
83781;30/06/2010;1200;0;;11.6;;;;;;
83781;01/07/2010;0000;;23.7;;8.7;2.6;16.76;71.25;1.966667;
83781;01/07/2010;1200;0;;10.9;;;;;;
83781;02/07/2010;0000;;24.8;;7.7;3.1;16.22;76.75;1.933333;
83781;02/07/2010;1200;0;;10.9;;;;;;
83781;03/07/2010;0000;;24.7;;7.2;2.8;16.06;78.5;1.3;
83781;03/07/2010;1200;0;;11.5;;;;;;
83781;04/07/2010;0000;;24;;7.1;1.3;16.68;74.75;2.833333;
83781;04/07/2010;1200;0;;11.7;;;;;;
83781;05/07/2010;0000;;25.7;;7.8;1.8;17.92;66;3.15;
83781;05/07/2010;1200;0;;12.9;;;;;;
83781;06/07/2010;0000;;27.1;;7.3;2.2;18.46;69.75;2.8;
83781;06/07/2010;1200;0;;12.7;;;;;;
83781;07/07/2010;0000;;25.3;;8.9;1.8;18.84;54.75;1.633333;
83781;07/07/2010;1200;0;;13.4;;;;;;
83781;08/07/2010;0000;;25.3;;8.6;1.6;19.02;55.5;2.166667;
83781;08/07/2010;1200;0;;13.6;;;;;;
83781;09/07/2010;0000;;25.3;;7.2;5.8;18.42;71.5;1.5;
83781;09/07/2010;1200;0;;13.4;;;;;;
83781;10/07/2010;0000;;22;;2.6;3;17.9;77.25;3.466667;
83781;10/07/2010;1200;0;;15.7;;;;;;
83781;11/07/2010;0000;;26.2;;7.8;2.7;19.96;72;2.033333;
83781;11/07/2010;1200;0;;15.6;;;;;;
83781;12/07/2010;0000;;28.2;;7.9;2.5;21.82;54.5;2.866667;
83781;12/07/2010;1200;0;;15.7;;;;;;
83781;13/07/2010;0000;;22.9;;0;2.9;17.52;87;2.966667;
83781;13/07/2010;1200;0.2;;14.5;;;;;;
83781;14/07/2010;0000;;15.9;;0;0.6;13.08;94.5;2.8;
83781;14/07/2010;1200;41.8;;11.7;;;;;;
83781;15/07/2010;0000;;16.1;;0;0.5;14.26;94;3.166667;
83781;15/07/2010;1200;30.9;;11.6;;;;;;
83781;16/07/2010;0000;;16.3;;0;0.2;14.14;95.25;3.633333;
83781;16/07/2010;1200;18.4;;12.8;;;;;;
83781;17/07/2010;0000;;20.2;;2.4;0.4;16.12;88.5;3.466667;
83781;17/07/2010;1200;2.2;;12.9;;;;;;
83781;18/07/2010;0000;;22.4;;2.4;0.6;17.92;82.75;2.766667;
83781;18/07/2010;1200;0;;14.5;;;;;;
83781;19/07/2010;0000;;26.6;;7.2;0.6;19.56;73.5;0.866667;
83781;19/07/2010;1200;0;;15.7;;;;;;
83781;20/07/2010;0000;;26.9;;8.3;1;19.42;73.25;0.933333;
83781;20/07/2010;1200;0;;14.6;;;;;;
83781;21/07/2010;0000;;27.3;;9.2;1;20.94;62.25;0.433333;
83781;21/07/2010;1200;0;;15.7;;;;;;
83781;22/07/2010;0000;;28.6;;9.3;2.2;22.4;51.25;1.233333;
83781;22/07/2010;1200;0;;16.1;;;;;;
83781;23/07/2010;0000;;28.3;;8;1.2;19.9;70.75;2.433333;
83781;23/07/2010;1200;0;;16.9;;;;;;
83781;24/07/2010;0000;;23.8;;6.5;0.8;18.88;77.5;2.833333;
83781;24/07/2010;1200;0;;16.7;;;;;;
83781;25/07/2010;0000;;25.9;;9.1;0.5;19.62;59.5;2.25;
83781;25/07/2010;1200;0;;15;;;;;;
83781;26/07/2010;0000;;27.1;;8.2;5.2;19.08;64;2.233333;
83781;26/07/2010;1200;0;;15.1;;;;;;
83781;27/07/2010;0000;;18.9;;1.2;2.7;16.4;81.75;3.7;
83781;27/07/2010;1200;0;;14.7;;;;;;
